EmployeeID,Age,Gender,MaritalStatus,EducationLevel,EducationField,Department,JobRole,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,BonusPercent,StockOptionLevel,PerformanceRating,TrainingTimesLastYear,CertificationCount,AbsenceDays,LateMarks,OvertimeHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,EmployeeEngagementScore,ManagerRating,TeamSize,ProjectsHandled,AverageMonthlyHours,PerformanceTrend3Months,PerformanceTrend6Months,SalaryGrowthLast3Years,Attrition
19,47,Male,Single,Bachelor,HR,IT,Engineer,5,6,12,2,8,2,174886.0,9,6,1,5,1,8,26,17,79,3.0,5,2,2,22,5.0,5,13,195,-1.9332041248468048,0.7129905350691206,2,0
20,55,Female,Married,PhD,Marketing,IT,Engineer,5,11,17,6,9,3,138558.0,8,25,1,2,2,19,9,15,50,5.0,1,1,5,77,5.0,19,19,207,1.0470333083931729,-1.1284542233694546,13,0
21,19,Female,Married,Master,Finance,Finance,Analyst,1,23,6,1,9,1,96395.0,26,38,3,2,10,19,19,18,37,,4,1,4,20,1.0,23,2,140,0.17488252219036804,-0.24187696944588433,8,0
22,38,Male,Single,PhD,Business,Finance,Executive,2,38,17,6,9,9,162681.0,7,20,0,2,3,16,24,19,82,5.0,4,5,2,21,2.0,6,12,138,-0.49769385099056274,1.2166049522138285,29,0
23,50,Male,Single,Master,Finance,Operations,Analyst,3,4,6,0,3,8,118255.0,12,19,0,4,1,5,9,12,58,,3,5,5,11,1.0,4,7,213,-1.4586712173754677,0.06674919635776357,41,0
24,29,Female,Single,Bachelor,Marketing,Operations,Consultant,3,0,3,9,2,5,182901.0,8,35,0,4,12,15,16,0,70,2.0,4,3,3,52,3.0,7,15,215,0.4363766534291266,-0.5745189086539885,13,0
25,39,Male,Divorced,Bachelor,HR,Operations,Engineer,3,6,16,3,3,0,74190.0,15,5,0,1,14,7,29,11,96,3.0,2,3,4,68,5.0,6,4,305,0.28173871339951106,0.7308996506021651,55,0
26,42,Female,Married,Bachelor,Engineering,Operations,Analyst,1,25,18,7,9,3,172095.0,14,15,0,2,0,9,21,3,17,,5,5,4,19,5.0,6,9,140,-0.026560323954010114,0.2708375234603256,18,0
27,44,Male,Married,PhD,Finance,IT,Engineer,4,23,4,6,2,10,54200.0,6,34,1,3,11,9,14,3,46,1.0,4,3,1,27,4.0,11,8,151,-1.9082793838344339,0.4314438270319988,43,0
28,59,Female,Divorced,Bachelor,IT,Sales,Analyst,5,16,6,4,1,4,183940.0,25,33,2,5,11,8,16,15,67,,4,1,5,89,5.0,10,1,221,0.9933130117496042,-0.2942009974038132,26,0
29,45,Male,Married,Bachelor,Business,Operations,Analyst,2,3,5,6,0,1,160965.0,18,0,2,4,9,4,10,16,96,2.0,3,4,4,27,2.0,12,16,174,0.057397065067918515,0.24794000868619545,37,0
30,33,Male,Single,Bachelor,Business,HR,Manager,3,15,4,8,3,6,170200.0,12,24,2,3,4,2,2,15,19,5.0,4,5,2,100,3.0,18,15,300,2.3914848342415826,0.5591789449623359,55,0
31,32,Female,Married,Bachelor,HR,Operations,Analyst,2,35,12,0,4,3,125465.0,10,38,0,1,7,18,25,9,31,4.0,3,2,5,51,2.0,22,11,138,1.1116708247728233,0.5457228020359381,10,0
32,20,Female,Married,Bachelor,Marketing,IT,Engineer,2,4,11,1,7,4,180494.0,29,2,3,2,4,17,4,18,13,1.0,3,5,3,78,2.0,21,10,197,-0.3831931228993317,1.2871235900320117,26,0
33,54,Male,Married,Bachelor,Marketing,Finance,Analyst,5,4,4,0,6,7,91551.0,26,2,3,1,9,7,11,0,8,4.0,3,4,4,4,2.0,3,11,131,0.5954112476561345,0.043681134030915524,9,0
34,24,Male,Married,High School,Engineering,HR,Executive,1,16,3,4,5,6,116197.0,7,4,2,3,6,3,19,16,26,,1,1,3,33,5.0,21,6,132,0.3417353834079497,-0.27042348401131894,26,0
35,38,Female,Married,Bachelor,Marketing,Operations,Manager,5,20,7,2,5,11,116476.0,21,20,1,1,9,10,0,2,23,5.0,5,3,4,77,5.0,13,2,124,0.9959815690053739,2.3979950172736877,8,0
36,26,Female,Divorced,Master,Finance,IT,Analyst,1,29,14,9,4,2,197580.0,14,4,0,4,9,0,0,17,3,5.0,5,4,3,91,2.0,4,10,269,-1.0584980372061028,1.509583193231614,56,1
37,56,Male,Single,Master,Business,Finance,Executive,4,32,10,0,3,4,,28,17,1,3,2,19,13,14,90,3.0,1,4,5,19,2.0,13,18,228,-0.22690475774238128,0.5703915957438773,5,0
38,35,Male,Married,Bachelor,Engineering,Operations,Engineer,2,22,4,0,7,7,89640.0,19,37,2,3,9,11,23,13,83,3.0,1,4,3,38,1.0,16,10,284,0.7062071811940162,-1.1708670698126296,51,0
39,21,Female,Single,Master,Marketing,IT,Executive,3,28,10,6,7,9,142560.0,12,19,3,5,0,18,5,16,72,,2,5,2,43,1.0,12,10,164,0.4072167064837279,-0.39046088287038316,55,0
40,42,Female,Married,Master,IT,IT,Manager,2,38,9,1,9,3,55649.0,11,15,1,5,11,0,26,7,84,2.0,2,4,1,67,3.0,9,15,290,-0.13974784021422398,0.04323345155663929,21,0
41,31,Female,Single,High School,Business,Sales,Engineer,5,37,1,8,2,6,21392.0,11,31,1,4,10,6,9,9,85,5.0,3,2,1,37,4.0,5,13,143,0.30658441703436135,0.20273195117376802,12,0
42,26,Female,Married,Master,Engineering,IT,Analyst,1,6,19,6,7,11,126851.0,17,12,0,4,13,1,12,9,52,5.0,1,3,2,51,5.0,15,13,231,-0.5202000299745498,-1.8543332115841116,56,0
43,43,Female,Married,Master,Business,Operations,Analyst,4,36,7,9,4,8,163727.0,8,9,3,4,0,17,9,13,70,,5,2,5,22,4.0,10,6,198,-0.18262468844993557,0.7129972163862537,25,1
44,19,Male,Single,Bachelor,Finance,IT,Executive,4,6,19,0,0,10,37674.0,22,2,3,1,8,12,28,18,66,1.0,1,3,3,5,5.0,16,14,158,-1.6408797281599095,0.41332007768185414,37,0
45,37,Male,Married,High School,HR,HR,Analyst,1,14,3,0,7,11,95921.0,11,12,0,5,14,16,16,13,77,4.0,1,4,3,47,5.0,18,19,241,-0.6079991708359405,1.3301793995674256,27,0
46,45,Female,Married,Bachelor,Marketing,IT,Engineer,1,28,15,3,6,1,122433.0,7,29,2,3,11,14,9,3,19,3.0,1,5,2,37,3.0,23,18,130,0.8113032121812117,0.06633091891161924,55,0
47,24,Male,Married,Master,HR,IT,Engineer,1,9,13,2,6,4,196815.0,18,35,2,2,9,7,7,15,96,,5,2,1,25,4.0,6,6,147,1.4399881343569907,-0.9154076023619228,28,1
48,25,Male,Single,Bachelor,Marketing,HR,Analyst,4,19,2,5,4,0,89893.0,5,34,3,2,8,0,14,1,39,5.0,5,2,1,11,3.0,17,7,180,-0.17757600570702514,0.8236789851788818,20,0
49,52,Female,Married,Master,Marketing,Operations,Executive,2,8,7,7,4,5,191032.0,5,4,1,1,4,7,24,17,58,1.0,4,2,5,71,4.0,20,14,167,0.7881920065601364,0.35547274666605894,22,0
50,31,Male,Single,Bachelor,IT,Finance,Analyst,2,5,3,9,6,12,23067.0,20,19,1,2,6,18,25,15,25,1.0,1,4,3,16,1.0,11,14,152,0.20834903611431496,-1.7020289754076428,1,0
51,34,Male,Single,Bachelor,Finance,Sales,Consultant,4,19,6,6,8,6,98616.0,18,12,1,1,13,11,1,11,16,4.0,2,5,2,39,1.0,20,16,199,0.10469788047805403,-0.3892054769933691,23,0
52,53,Male,Single,Bachelor,IT,Finance,Analyst,3,20,8,0,9,5,41959.0,12,22,3,4,5,8,20,6,60,,5,1,3,31,4.0,9,16,133,0.005856055972288565,-0.12191643296233787,11,0
53,57,Female,Married,Bachelor,Finance,Operations,Manager,5,6,1,5,0,5,37145.0,27,10,0,5,8,1,25,9,70,5.0,5,5,2,78,5.0,22,1,173,0.8783855684208932,-0.8754720077918192,49,1
54,21,Female,Married,Master,Finance,Operations,Analyst,4,37,2,8,7,5,173843.0,5,25,2,4,4,17,7,15,78,3.0,4,1,1,81,1.0,10,5,301,2.6666287115305125,-1.2572860306730058,16,0
55,19,Male,Single,Master,Finance,HR,Consultant,3,33,8,8,9,14,42126.0,8,7,0,1,2,5,16,3,58,4.0,1,1,5,55,2.0,21,14,229,-0.9045723332834704,1.2082370764463133,34,1
56,23,Male,Single,Bachelor,Marketing,Finance,Manager,5,2,6,1,8,12,120717.0,8,30,1,3,0,4,15,0,15,5.0,5,3,5,97,1.0,20,17,196,0.4713911725309316,1.3697496680840406,55,0
57,59,Male,Married,Bachelor,Marketing,IT,Executive,2,16,19,7,6,7,189212.0,8,31,2,3,10,4,15,16,8,1.0,2,3,1,37,1.0,23,12,288,1.6990117847618966,-0.16107356356715916,47,1
58,21,Male,Married,Master,Marketing,HR,Manager,1,1,14,3,1,8,43861.0,19,11,3,4,1,5,23,1,30,2.0,5,5,1,31,2.0,21,17,311,-0.9378099903201231,0.7752363600136994,35,0
59,46,Male,Married,Master,IT,HR,Engineer,5,11,16,2,4,3,174993.0,20,9,0,2,9,6,20,5,5,2.0,3,1,3,20,1.0,11,17,274,-1.0018075925262657,1.4289691604243469,32,0
60,35,Male,Single,Master,Engineering,Sales,Consultant,1,12,11,6,3,13,140730.0,14,20,2,3,14,13,0,4,71,1.0,2,1,4,50,3.0,3,5,162,-2.5148190652927718,-0.20261211294510167,49,0
61,43,Female,Married,Bachelor,HR,HR,Engineer,3,37,3,4,6,2,72701.0,26,33,3,1,7,10,23,18,49,1.0,5,3,5,78,3.0,20,16,131,-0.66555615525402,-1.0935142127764321,31,1
62,51,Male,Single,PhD,Finance,Finance,Engineer,4,35,16,5,2,6,155518.0,8,16,0,2,1,7,11,18,62,,1,1,5,72,2.0,6,10,248,-1.1363538631978656,1.5097222044216285,14,1
63,27,Male,Divorced,Master,IT,Operations,Manager,4,11,8,3,7,7,195705.0,18,28,2,1,2,4,27,11,94,3.0,3,1,4,98,3.0,13,10,310,-1.4468843698346943,1.1543274004142077,25,1
64,53,Female,Married,High School,Marketing,Sales,Manager,1,26,5,8,4,2,84049.0,17,1,0,4,7,2,2,7,90,2.0,3,1,4,64,,7,10,201,0.6272389166128047,2.4582847239530876,37,0
65,31,Male,Married,Bachelor,HR,IT,Engineer,5,25,17,2,5,5,182959.0,6,18,2,2,14,2,9,3,11,5.0,4,1,4,61,3.0,11,9,198,0.7743877042661469,-1.5424515457765422,5,0
66,48,Male,Single,Bachelor,Marketing,Finance,Executive,5,39,16,4,3,12,77497.0,5,25,2,3,11,2,7,18,4,3.0,1,5,1,97,,14,6,249,-0.3076484324575611,1.5235277265133182,6,0
67,32,Male,Single,Master,Engineering,IT,Analyst,3,4,2,1,6,6,35339.0,20,11,2,3,10,1,7,15,24,3.0,5,5,1,2,2.0,6,14,276,1.8767962068744573,0.8651882326356393,20,0
68,25,Male,Single,High School,Marketing,HR,Analyst,4,31,16,3,8,12,78398.0,26,30,2,5,1,12,21,15,93,3.0,4,2,4,41,3.0,7,9,279,-1.406908014356991,1.9510321732018336,58,0
69,31,Female,Single,Bachelor,Finance,Finance,Consultant,1,35,16,6,3,6,130174.0,20,31,3,4,3,17,0,7,30,3.0,4,4,2,46,1.0,13,15,308,0.7186141495700759,-0.2952522215274894,17,1
70,40,Male,Single,Bachelor,Business,Sales,Manager,2,37,12,9,5,10,53442.0,26,29,1,2,6,0,27,0,40,4.0,1,4,5,98,5.0,18,3,178,-1.171118798020242,0.179444599600144,47,0
71,57,Female,Married,High School,HR,Sales,Analyst,4,15,14,4,5,1,72964.0,11,38,1,5,4,14,12,8,94,5.0,5,2,4,14,1.0,21,6,232,-0.46041329570443174,-0.5953855790441586,45,0
72,38,Male,Single,Bachelor,Marketing,IT,Executive,4,9,11,5,0,13,120165.0,27,16,1,1,3,15,13,15,22,1.0,2,3,3,70,4.0,11,1,152,0.622637800137823,-0.47180663069439327,17,0
73,33,Male,Married,Master,Engineering,Operations,Consultant,3,36,13,4,8,7,185453.0,12,35,0,4,11,0,9,12,93,3.0,2,5,5,27,5.0,13,15,157,0.10508007760148964,-0.8048049842743573,19,1
74,35,Female,Single,Bachelor,HR,Sales,Manager,4,14,14,6,1,9,24412.0,8,6,0,3,3,2,28,16,54,2.0,1,5,2,15,5.0,15,6,279,0.3851954255125262,-0.758085491680442,16,0
75,41,Male,Single,Bachelor,Business,IT,Analyst,3,10,13,8,9,12,21873.0,18,34,3,1,11,6,29,2,8,1.0,1,1,4,79,5.0,16,3,159,-0.21041716995519805,-0.12018885489675141,57,0
76,43,Female,Married,Bachelor,HR,Operations,Engineer,3,8,3,6,0,5,44245.0,15,16,2,1,7,8,23,17,66,2.0,2,5,2,51,1.0,4,17,238,0.6559962808824112,-1.0715108034929695,9,0
77,42,Female,Married,Bachelor,Finance,Finance,Executive,2,17,15,2,4,5,133589.0,29,24,2,1,0,15,2,6,8,3.0,5,4,5,60,5.0,18,16,274,-0.547029749450577,0.6836199815483738,28,0
78,58,Female,Married,Bachelor,Finance,Sales,Executive,5,32,7,6,1,2,172736.0,21,37,3,1,10,0,23,5,65,,3,3,5,17,1.0,6,7,248,-0.9128827791190186,-0.8198209707050843,10,0
79,46,Male,Single,High School,Finance,Sales,Manager,4,8,10,2,9,5,156607.0,5,20,1,4,8,10,25,5,69,2.0,5,4,4,14,5.0,17,4,206,-0.07244439075075934,0.07720720526960533,1,1
80,32,Male,Married,Bachelor,Engineering,IT,Executive,3,14,4,3,4,8,108782.0,21,2,3,5,1,16,23,5,7,,4,1,2,12,3.0,2,4,267,0.04997619099930801,-0.029494627490238994,9,0
81,18,Male,Married,Master,Business,Sales,Manager,3,35,2,5,0,5,59705.0,6,1,1,4,8,1,12,13,43,3.0,2,5,5,27,4.0,22,13,125,-0.042134955434984404,1.2491543037301036,15,0
82,42,Male,Single,Bachelor,Finance,IT,Executive,5,35,19,6,6,3,82302.0,22,38,2,3,11,6,13,2,28,4.0,4,5,1,62,1.0,14,19,163,-0.031785137224286344,0.7353698097651752,16,0
83,24,Female,Married,Master,Marketing,Sales,Analyst,5,0,9,7,3,8,34850.0,7,35,0,2,13,11,10,16,85,5.0,2,5,4,88,4.0,2,16,183,-0.18569463815843282,1.0196059982847223,39,0
84,26,Male,Married,Bachelor,Business,IT,Manager,3,27,4,8,7,5,145539.0,28,3,0,3,2,7,3,7,8,5.0,1,3,4,92,4.0,18,18,224,-0.7316758089213015,-1.385638829227388,47,0
85,41,Male,Single,High School,Finance,Sales,Executive,4,32,8,0,7,5,130555.0,25,7,2,2,8,12,20,3,15,1.0,3,5,1,60,4.0,5,10,303,0.36217628113971584,-0.24421054684216967,11,1
86,18,Female,Divorced,Master,Business,Finance,Analyst,4,0,2,3,6,14,39065.0,17,12,3,3,5,2,2,1,77,2.0,5,5,2,18,2.0,15,13,306,0.9361307930155145,-0.21114351935780776,51,0
87,25,Female,Married,High School,HR,Finance,Analyst,4,5,4,2,0,13,194173.0,21,25,3,5,5,13,5,11,43,1.0,3,2,5,42,1.0,5,4,222,-0.9081422381504785,0.25593981164632496,41,0
88,41,Male,Single,Master,Marketing,IT,Analyst,5,10,15,5,2,13,163078.0,19,13,2,3,3,11,26,19,5,3.0,5,2,3,36,1.0,16,7,122,1.8584724418299465,-0.6629810291081816,27,1
89,28,Female,Married,Bachelor,IT,Finance,Manager,4,26,12,5,5,13,131650.0,7,6,2,2,14,14,11,11,75,3.0,3,2,1,2,5.0,16,17,131,0.11025952965318792,-1.4668538893079,35,1
90,34,Female,Single,Bachelor,Finance,IT,Manager,4,4,10,7,5,13,154169.0,9,14,1,4,0,12,18,6,34,3.0,4,4,1,86,5.0,14,14,224,-0.5893972011685188,0.020161046256956267,17,1
91,25,Female,Married,High School,Marketing,IT,Executive,4,9,16,3,5,7,,29,39,0,2,7,7,6,13,26,5.0,4,5,1,18,3.0,13,8,268,0.5127025460514548,-0.977083511983158,34,0
92,52,Female,Married,Master,Engineering,HR,Engineer,5,27,3,3,1,1,112609.0,9,4,3,5,5,18,0,10,12,5.0,4,1,1,92,4.0,8,4,150,-0.39498267331982934,-0.3418372143781471,44,0
93,52,Female,Single,PhD,HR,Finance,Engineer,1,15,16,0,7,1,109884.0,10,27,1,2,13,11,13,4,69,2.0,3,4,3,30,5.0,20,3,188,1.818961924025098,-0.1348439586200246,42,0
94,50,Male,Single,High School,Finance,HR,Consultant,1,25,0,2,2,9,69390.0,20,13,1,1,0,12,21,5,97,3.0,2,4,2,89,1.0,17,14,181,-0.11562422152129277,-1.4308112010586023,32,1
95,22,Male,Single,Bachelor,IT,HR,Engineer,4,27,5,2,4,14,169620.0,6,12,1,2,11,1,23,0,91,1.0,2,4,5,83,4.0,17,6,204,1.3365166113484674,0.338804680923541,23,1
96,59,Male,Married,High School,HR,Sales,Engineer,1,13,0,7,8,4,188596.0,10,23,2,2,2,12,12,17,23,2.0,2,1,4,28,5.0,12,8,161,1.6062098271711864,-1.951590389513409,23,0
97,56,Male,Married,Master,Marketing,IT,Executive,4,12,19,7,6,12,48515.0,17,25,2,3,10,13,4,9,80,2.0,4,5,1,99,5.0,20,10,150,-0.09340288813354287,-0.7116269121146015,35,0
98,58,Male,Single,Bachelor,HR,Operations,Manager,5,0,6,7,8,13,182189.0,9,4,0,3,14,12,2,0,59,5.0,2,4,5,51,4.0,8,7,171,-0.287533512307619,0.18673645551183488,35,0
99,45,Male,Single,Bachelor,Marketing,HR,Engineer,4,34,10,8,3,8,31461.0,24,39,2,4,0,11,24,6,91,2.0,5,4,1,78,4.0,15,8,173,-1.63927983153353,1.0254278906176613,27,0
100,24,Male,Single,High School,Business,Sales,Consultant,2,14,9,7,0,0,93554.0,29,26,3,1,9,3,12,18,80,3.0,1,1,5,35,5.0,18,7,272,-0.3587267678750164,-0.24612546807332247,10,0
101,26,Female,Single,Master,Finance,Finance,Executive,3,28,17,5,9,14,191401.0,28,7,0,4,12,14,20,17,44,2.0,5,2,2,82,4.0,24,3,187,1.6618774088585415,1.6308929021624425,10,0
102,25,Male,Single,Bachelor,IT,Operations,Analyst,5,30,9,4,2,0,115878.0,20,38,0,1,7,2,4,4,82,4.0,1,4,3,95,2.0,20,7,278,0.36083413738700726,-0.9041094354937474,29,0
103,29,Male,Married,Master,Engineering,IT,Analyst,2,11,18,3,4,1,164122.0,20,22,2,2,4,19,19,4,79,4.0,4,1,3,3,4.0,7,7,163,-0.6868513713264617,-1.8700607705026904,51,0
104,51,Male,Married,Master,Business,Sales,Consultant,2,4,1,2,9,14,100684.0,11,24,2,1,4,15,28,7,11,4.0,2,5,4,42,5.0,5,9,158,0.2093596936129215,-1.7705876461424053,45,1
105,50,Female,Divorced,High School,Finance,Operations,Manager,3,31,0,6,0,14,90047.0,24,9,1,5,4,1,18,18,19,2.0,2,2,3,20,3.0,20,17,126,0.24874440651399027,0.028935221806373937,59,0
106,40,Male,Divorced,Bachelor,IT,IT,Analyst,2,9,13,8,6,3,185108.0,15,13,1,2,11,1,20,6,70,4.0,3,2,2,92,3.0,2,18,273,-0.0666389043231356,-0.5636031582632083,39,0
107,41,Male,Married,Bachelor,Business,IT,Manager,3,4,11,0,0,6,139767.0,7,1,0,1,10,14,26,10,90,4.0,2,1,4,11,5.0,15,15,272,-0.23975712946684907,0.33727270366524265,16,0
108,54,Female,Married,Bachelor,IT,Operations,Engineer,4,26,14,1,7,11,21960.0,19,34,1,1,5,15,20,14,32,1.0,2,1,1,68,4.0,19,12,274,1.333519619018219,0.1321498475705329,49,0
109,52,Male,Divorced,Bachelor,HR,Sales,Engineer,5,38,18,7,6,2,143180.0,21,9,0,3,7,1,25,1,31,4.0,5,2,3,12,4.0,23,7,136,0.16378388189778306,-0.6856247491270314,29,0
110,57,Male,Single,Master,IT,Operations,Engineer,5,20,16,3,1,2,185505.0,7,30,3,1,8,10,21,17,51,3.0,5,4,5,47,5.0,19,3,304,-1.0276351172509246,-0.23148488129339442,32,0
111,39,Female,Single,PhD,Business,HR,Analyst,5,15,17,7,6,13,524975.0,6,20,1,4,2,10,14,8,31,3.0,1,2,1,51,1.0,11,3,128,1.0853350906159858,-1.8821754828561663,35,0
112,44,Male,Single,PhD,Business,IT,Analyst,3,28,8,5,5,5,64297.0,18,26,0,5,4,2,17,4,89,2.0,3,5,1,84,4.0,21,19,139,0.818249327395431,0.15933581790027562,11,0
113,52,Female,Married,Master,Finance,Finance,Manager,3,14,0,0,6,9,94208.0,9,29,3,3,0,9,28,7,13,4.0,2,2,4,39,5.0,15,19,140,0.08651793690867018,0.5630139734477675,9,0
114,18,Male,Married,Bachelor,Business,Operations,Manager,2,37,0,5,0,2,43011.0,28,1,3,2,14,11,1,19,99,5.0,4,4,2,36,5.0,6,6,288,-1.2395991513452935,0.7584245842604028,52,0
115,52,Male,Single,Bachelor,HR,Operations,Consultant,5,6,8,0,6,6,198383.0,8,12,1,4,6,0,1,16,98,3.0,2,5,3,71,2.0,15,19,180,1.1349077077331529,0.44121352214728765,8,0
116,54,Male,Married,High School,Finance,IT,Engineer,2,17,18,7,8,6,70790.0,16,32,2,2,5,0,10,1,33,2.0,3,4,4,47,1.0,6,1,287,0.39744884274088316,-0.28506605368421284,42,0
117,31,Female,Married,Bachelor,IT,IT,Executive,4,18,5,0,7,3,176036.0,11,34,3,4,5,0,29,3,29,2.0,2,3,5,93,4.0,16,13,293,0.541364316408703,3.136439841850133,58,0
118,20,Female,Single,Bachelor,Business,Operations,Executive,2,16,18,4,6,12,103119.0,29,4,1,3,2,14,1,6,23,2.0,1,2,5,23,,9,11,128,1.3530482969305837,1.7608342170853428,42,0
119,18,Female,Single,Bachelor,Finance,Finance,Engineer,5,13,17,9,1,9,176818.0,15,30,1,2,0,17,18,1,62,5.0,1,5,3,32,1.0,5,6,310,1.8036423995837005,-0.575291362693301,56,0
120,22,Male,Single,Master,Finance,IT,Consultant,3,9,2,5,6,4,,24,36,0,4,9,9,18,9,19,1.0,1,2,3,10,2.0,4,19,315,0.10301480065284391,-0.3133272016503908,15,0
121,43,Male,Single,PhD,Engineering,IT,Manager,2,24,3,7,1,10,121142.0,25,21,1,2,1,12,2,4,33,4.0,5,5,3,81,5.0,17,18,143,-0.6025006299852756,0.22171523879634492,5,0
122,31,Female,Married,Master,Finance,HR,Analyst,2,8,10,3,3,4,182168.0,29,39,1,4,2,15,29,11,4,1.0,5,5,1,87,1.0,3,1,249,-1.3322945904016699,0.8369645540157279,33,0
123,56,Female,Married,Bachelor,Finance,Sales,Consultant,3,15,16,2,0,0,130888.0,6,36,0,5,12,5,16,17,90,5.0,4,3,1,13,2.0,12,9,150,0.3468297917998469,-0.26999242194912737,47,0
124,44,Male,Married,Master,Engineering,HR,Consultant,3,23,2,4,2,9,,6,22,0,3,8,0,19,0,11,1.0,4,2,5,29,3.0,21,3,238,1.071443347845644,-0.019147061185466982,22,0
125,26,Male,Married,High School,Marketing,Finance,Engineer,5,20,1,7,4,9,102667.0,14,31,0,5,2,9,18,15,98,1.0,1,2,1,86,4.0,2,19,219,0.49058908753928643,-0.5100977583965841,0,0
126,32,Male,Married,Bachelor,HR,Sales,Manager,4,33,3,7,5,13,31149.0,22,5,3,5,4,14,27,13,76,3.0,1,4,5,21,1.0,9,8,249,-1.6872322043523267,0.6358626051959279,22,0
